object_id,period,dimensions,classification,curatorial_description,num_images,all_image_urls,map_url
48450,Southern Song dynasty (1127–1279),H. 2 7/8 in. (7.3 cm); Diam.  5 7/8 in. (14.9 cm),Ceramics,Bowl Southern Song dynasty (1127–1279) 13th century China Stoneware with celadon glaze (Longquan ware); gold lacquer repairs H. 2 7/8 in. (7.3 cm);...,0,,
48462,Yuan dynasty (1271–1368),H. 8 1/2 in. (21.6 cm),Ceramics,Meiping vase with dragon Yuan dynasty (1271–1368) 14th century China Stoneware with incised decoration under celadon glaze (Longquan ware) H. 8 1/2 in....,0,,
48649,"Qing dynasty (1644–1911), Yongzheng (1723–35)–Qianlong (1736–95)",H. 17 1/4 in. (43.8 cm),Ceramics,"Jar with Flowers Qing dynasty (1644–1911), Yongzheng (1723–35)–Qianlong (1736–95) mid-18th century China Porcelain painted with colored enamels over...",0,,
48711,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",H. 27 3/4 in. (70.5 cm); Diam. 9 in. (22.9 cm),Ceramics,"Held on the fifth day of the fifth month, the Dragon Boat festival is celebrated with eating rice dumplings, drinking wine, and—as can be seen in the...",0,,
49497,Eastern Zhou dynasty (770–256 BCE),H. 7 1/16 in. (17.9 cm); W. 7 1/4 in. (18.4 cm); D. 3 1/8 in. (7.9 cm),Metalwork,"Most remarkable is a winged feline, which may have been part of a stand for a vessel or musical instrument. While its face, paws, tail and torso seem to have derived from those of a tiger, the large wings on its back and pointed fins on its legs point to an imaginary world",0,,
49291,Edo period (1615–1868),Diam. 16 7/8 in. (42.9 cm); H. 4 in. (10.2 cm); Diam. (foot) 7 in. (17.8 cm),Ceramics,"This large dish, an early Hizen ware excavated from the Maruo kiln site in western Arita, is an important example of large-scale celadon production in...",0,,
49513,Tang dynasty (618–907),H. 27 1/8 in. (68.9 cm); W. 27 in. (68.6 cm); D. 11 in. (27.9 cm) | H. (with wood base) 28 3/4 in. (73 cm),Tomb Pottery,Horse Tang dynasty (618–907) 8th century China Earthenware with brown glazes H. 27 1/8 in. (68.9 cm); W. 27 in. (68.6 cm); D. 11 in. (27.9 cm) H. (with...,0,,
49514,Tang dynasty (618–907),H. 25 3/4 in. (65.4 cm); W. 10 1/32 in. (25.5 cm),Ceramics,Groom Tang dynasty (618–907) 8th century China Earthenware with three-color (sancai) glaze H. 25 3/4 in. (65.4 cm); W. 10 1/32 in. (25.5 cm) Ceramics...,0,,
49515,Western Han dynasty (206 BCE–9 CE),H. 13 in. (33 cm); W.  6 1/4 in. (15.9 cm),Tomb Pottery,Kneeling Lady in Greeting Gesture Western Han dynasty (206 BCE–9 CE) China Earthenware with traces of pigments over white slip H. 13 in. (33 cm); W. 6...,0,,
49517,Eastern Han dynasty (25–220),8 x 10 1/2 in. (20.3 x 26.7 cm),Ceramics,Pottery models of houses and farm structures were commonly included in Eastern Han burials to provide for the afterlife.,0,,
49518,Eastern Han dynasty (25–220),H. 9 3/8 in. (23.8 cm); W. 8 3/16 in. (20.8 cm); D. 8 1/2 in. (21.6 cm),Ceramics,Pottery models of houses and farm structures were commonly included in Eastern Han burials to provide for the afterlife.,0,,
49522,Eastern Han dynasty (25–220),H. 3 in. (7.6 cm); Diam. 8 5/8 in. (21.9 cm),Ceramics,Pottery models of houses and farm structures were commonly included in Eastern Han burials to provide for the afterlife.,0,,
49538,Eastern Zhou (770–256 BCE)–Western Han (206 BCE–9 CE),H. 1 5/16 in. (3.3 cm); L. 2 1/16 in. (5.2 cm),Hardstone,Scabbard Chape Eastern Zhou (770–256 BCE)–Western Han (206 BCE–9 CE) 4th–2nd century BCE China Agate H. 1 5/16 in. (3.3 cm); L. 2 1/16 in. (5.2 cm)...,0,,
49540,Tang dynasty (618–907),H. 60 in. (152.4 cm); W. 38 in. (96.5 cm),Sculpture,Panel in the Shape of a Sarcophagus Door Tang dynasty (618–907) early 8th century China Limestone H. 60 in. (152.4 cm); W. 38 in. (96.5 cm) Sculpture...,0,,
49542,Northern Wei (386–534)–Northern Qi (550–577) dynasty,H. 8 1/4 in. (21 cm),Tomb Pottery,Standing Official Northern Wei (386–534)–Northern Qi (550–577) dynasty mid-to-late 6th century China Earthenware with traces of pigment H. 8 1/4 in. (21...,0,,
49349,"Qing dynasty (1644–1911), Kangxi mark and period (1662–1722)",H. 1 1/4 in. (3.2 cm); Diam: 4 1/2 in. (11.4 cm),Ceramics,"Derived from copper, lush pinkish-red glazes were first produced in the third quarter of the seventeenth century as part of experimentation at the...",0,,
49547,Sui dynasty (581–618),H. 10 in. (25.4 cm); W. 3 1/4 in. (8.3 cm),Tomb Pottery,Female attendant Sui dynasty (581–618) late 6th–7th century China Glazed earthenware with pigment H. 10 in. (25.4 cm); W. 3 1/4 in. (8.3 cm) Tomb...,0,,
49548,Tang dynasty (618–907),H. 6 1/8 in. (15.6 cm),Tomb Pottery,"Resting dancer Tang dynasty (618–907) second half of the 7th century China Earthenware with pigment H. 6 1/8 in. (15.6 cm) Tomb Pottery Fletcher Fund,...",0,,
49553,Sui (581–618)–Tang (618–907) dynasty,H. 13 1/2 in. (34.3 cm); Diam. 7 1/4 in. (18.4 cm),Ceramics,"The long neck and rounded body of this amphora reflects a shape found earlier in the Mediterranean region and in west Asia,and produced in both glass...",0,,
49559,Tang dynasty (618–907),H. 12 1/2 in. (31.8 cm); W.  8 7/8 in. (22.5 cm),Ceramics,"Derived from the manipulation of copper oxides during firing, black and dark brown glazes first developed in north China, in the latter part of the Tang...",0,,
49560,Tang dynasty (618–907),Diam. 2 3/8 in. (6 cm),Metalwork,This spherical censer was originally suspended from a chain. The interior hemispherical bowl for incense is hung on gimbals so that it remains upright...,0,,
49563,Tang dynasty (618–907),L. 13 in. (33 cm),Metalwork,"Ladle Tang dynasty (618–907) 8th century China Silver L. 13 in. (33 cm) Metalwork Rogers Fund, 1922 22.79.5",0,,
49368,Tang dynasty (618–907),H. 14 5/8 in. (37.1 cm); W. 4 11/16 in. (11.9 cm); L. 11 in. (27.9 cm),Tomb Pottery,Camel Tang dynasty (618–907) 8th century China Earthenware with three-color (sancai) glaze H. 14 5/8 in. (37.1 cm); W. 4 11/16 in. (11.9 cm); L. 11 in....,0,,
49369,Shang dynasty (ca. 1600–1046 BCE),H. 5 11/16 in. (14.5 cm); W. 2 13/16 in. (7.1 cm); L. 2 13/16 in. (7.1 cm),Jade,Ritual object (Cong) Shang dynasty (ca. 1600–1046 BCE) 13th–12th century BCE China Jade (nephrite) H. 5 11/16 in. (14.5 cm); W. 2 13/16 in. (7.1 cm); L....,0,,
49568,Liao dynasty (907–1125),H. 6 1/4 in. (15.9 cm); W. 4 1/4 in. (10.8 cm); D. 2 3/4 in. (7 cm),Sculpture,"The five knots of hair represent the five syllables of a Sanskrit invocation, a-ra-paca- na, used in devotions to the bodhisattva of wisdom. Each...",0,,
49575,Northern Qi dynasty (550–577),H. 25 3/4 in. (65.4 cm); W. 22 in. (55.9 cm); D. 23 in. (58.4 cm),Sculpture,"One of a pair, this fierce guardian lion bares his fangs, crouches, and grips the platform underneath him with splayed claws. Pairs of stone lions have...",0,,
49576,Tang dynasty (618–907),H. 5 1/2 in. (14 cm); W. 6 in. (15.2 cm),Metalwork,"Private collection , Asia; sale, Christie&#x27;s, New York , June 6, 1985, lot 117, as &quot;A very fine and rare engraved gilt bronze censer and pierced cover,&quot; to Weber through R. H. Ellsworth Ltd.; Charlotte C",0,,
49577,Tang dynasty (618–907),"a, b) Each H. 1 3/8 in. (3.5 cm); W. 2 1/2 in. (6.4 cm) | c-e) Each H. 1 3/8 in. (3.5 cm); W. 1 1/4 in. (3.2 cm)",Metalwork,A deer with a distinctive crown-shaped antler decorates several of these plaques.,0,,
49578,Tang dynasty (618–907),H. 6 3/4 in. (17.1 cm); W. 3 7/8 in. (9.8 cm),Metalwork,"Ceremonial ax Tang dynasty (618–907) China Gilt bronze H. 6 3/4 in. (17.1 cm); W. 3 7/8 in. (9.8 cm) Metalwork Rogers Fund, 1916 16.166",0,,
49579,Tang dynasty (618–907),Diam. 9 3/8 in. (23.8 cm),Mirrors,"During the Tang dynasty, new species of parrots were brought in as tribute to the imperial court, first from the newly annexed territories in...",0,,
49580,Tang dynasty (618–907),H. 2 1/4 in. (5.7 cm); L. 3 7/8 in. (9.8 cm); Th. 7/8 in. (2.2 cm),Sculpture,"This rare example depicts a dragon in a walking posture. It captures the movement, in spite of the partial loss of the animal’s feet. Comparable...",0,,
49581,Tang dynasty (618–907),H. 2 1/4 in. (5.7 cm); L. 4 in. (10.2 cm); Th. 7/8 in. (2.2 cm),Sculpture,Dragon Tang dynasty (618–907) 7th century China Gilt bronze H. 2 1/4 in. (5.7 cm); L. 4 in. (10.2 cm); Th. 7/8 in. (2.2 cm) Sculpture Gift of George D....,0,,
49582,Tang dynasty (618–907),H. 1 3/16 in. (3 cm); W. 1 7/16 in. (3.7 cm),Metalwork,"Decorative belt plaque Tang dynasty (618–907) 8th century China Gilt bronze H. 1 3/16 in. (3 cm); W. 1 7/16 in. (3.7 cm) Metalwork Rogers Fund, 1924...",0,,
49583,Tang dynasty (618–907),L. 3 3/8 in. (8.6 cm); Gr. W. 1 1/8 in. (2.9 cm),Jewelry,These comb tops feature pairs of mandarin ducks—symbols of marital fidelity—in flight and standing.,0,,
49584,Tang dynasty (618–907),W. 3/4 in. (1.9 cm); L. 5 3/4 in. (14.6 cm),Jewelry,"The prongs of this a hair ornament are missing, but the top is a remarkably fine example of Tang filigree work set off with carved turquoise.",0,,
49585,Tang dynasty (618–907),Diam. 7 1/2 in. (19.1),Mirrors,"Mirror with lions and flowers Tang dynasty (618–907) 8th–9th century China Bronze Diam. 7 1/2 in. (19.1) Mirrors Rogers Fund, 1912 12.134.35",0,,
49586,Tang dynasty (618–907),Diam. 6 3/4 in. (17.1 cm),Mirrors,Fantastic animals amid grape vines are one of the most popular decorative themes on Tang mirrors. The motif of figures amid scrolling vines can be...,0,,
49587,Tang dynasty (618–907),Diam. 6 3/4 in. (17.1 cm),Mirrors,"Mirror with Grapes and Fantastic Sea Animals Tang dynasty (618–907) 8th century China Bronze Diam. 6 3/4 in. (17.1 cm) Mirrors Rogers Fund, 1925 25.82.8",0,,
49588,Tang dynasty (618–907),H. 9 3/4 in. (24.8 cm),Sculpture,"This regal lion, who steps on lotus blossoms atop an altar table, may have served as the mount for a figure of the bodhisattva Manjushri, the Buddhist...",0,,
49589,Six Dynasties (220–589),H. 4 1/2 in. (11.4 cm); W. 2 1/4 in. (5.7 cm),Sculpture,This noble lion may have been one of a pair flanking a Buddhist deity.,0,,
49590,Tang dynasty (618–907),Diam. 2 in. (5.1 cm),Mirrors,"Mrs. Christian R. Holmes American; Frederick M. Mayer , New York (until 1974; to Christie, Manson &amp; Woods); Mayer sale, Christie&#x27;s, Manson &amp; Woods Ltd. , June 24–25, lot 134; to Eskenazi; [ Eskenazi Ltd",0,,
49591,Tang dynasty (618–907),Diam. 9 11/16 in. (24.6 cm),Mirrors,"Originally attached to the back of a bronze mirror, this silver disk is richly decorated with fantastic birds and felines frolicking amid lotus tendrils...",0,,
49410,Edo period (1615–1868),H. 2 3/4 in. (7 cm); Diam. 4 in. (10.2 cm); Diam. (bottom rim) 2 1/16 in. (5.3 cm),Ceramics,Food Cup (Choku) with Cherry Blossoms and Brushwood Fence Edo period (1615–1868) ca. 1690–1720s Japan Porcelain with cobalt blue under transparent glaze...,0,,
49421,Edo period (1615–1868),H. 1 1/4 in. (3.2 cm); Diam. 10 1/2 in. (26.7 cm),Ceramics,"Plate Depicting Lady with a Parasol Design attributed to Cornelis Pronk (Dutch, Amsterdam 1691–1759 Amsterdam) Edo period (1615–1868) ca. 1734–37 Japan...",0,,
